local_alias,item_name,rate
,¾ CPVC Concealed Valve swept S (Chrome Plated Flower),1418.0
,1 CPVC Concealed Valve swept S (Chrome Plated Flower),1670.0
,½ CPVC Concealed Valve(Wheel),801.0
,¾ CPVC Concealed Valve(Wheel),1054.0
,1 CPVC Concealed Valve(Wheel),2062.0
,¾ CPVC Concealed Valve swept L (Chrome Plated Triangle),1589.0
,1 CPVC Concealed Valve swept L (Chrome Plated Triangle),1824.0
,¾ CPVC Concealed Valve swept S (Chrome Plated Triangle),1341.0
,1 CPVC Concealed Valve swept S (Chrome Plated Triangle),1616.0
,¾ CPVC Concealed Valve swept L (Chrome Plated Round),1662.0
,1 CPVC Concealed Valve swept L (Chrome Plated Round),1915.0
,¾ CPVC Concealed Valve swept S (Chrome Plated Round),1409.0
,1 CPVC Concealed Valve swept S (Chrome Plated Round),1733.0
,"¾ CPVC Fancy Handle (KNOB) with RED & 
BLUE Plastic Button (Triangle)",410.0
,"¾ CPVC Fancy Handle (KNOB) with RED & 
BLUE Plastic Button (Square)",401.0
,"¾ CPVC Fancy Handle (KNOB) with RED & 
BLUE Plastic Button (Round)",401.0
,½  CPVC Spindle Valve Part with Gasket,550.0
,¾ CPVC Spindle Valve Part with Gasket,834.0
,1 CPVC Spindle Valve Part with Gasket,1037.0
,½ CPVC Concealed Chrome Plated Valve,1116.0
,¾ CPVC Concealed Chrome Plated Valve,1160.0
,1 CPVC Concealed Chrome Plated Valve,1461.0
,¾ CPVC Spindle Valve part with Gasket (S),394.0
,¾ CPVC Spindle Valve part with Gasket (L),612.0
,1 CPVC Spindle Valve part with Gasket (S),528.0
,1 CPVC Spindle Valve part with Gasket (L),638.0
,¾ x ½ CPVC All Top Adaptor (3 In 1 Wall Mixer Adaptor),549.0
,1 x ½  CPVC All Top Adaptor (3 In 1 Wall Mixer Adaptor),682.0
3/4x1/2 wall mixer adaptor,¾ x ½  CPVC Top Bottom Adaptor (3 In 1 Wall Mixer Adaptor),549.0
1x1/2 wall mixer adaptor,1 x ½ CPVC Top Bottom Adaptor (3 In 1 Wall Mixer Adaptor),682.0
,¾ x ½ CPVC Top Side Adaptor (3 In 1 Wall Mixer Adaptor),549.0
,1 x ½ CPVC Top Side Adaptor (3 In 1 Wall Mixer Adaptor),682.0
,"¾ x ½ CPVC Hot Up - Cold Down Adaptor 
(3 In 1 Wall Mixer Adaptor) ",549.0
,"1 x ½ CPVC Hot Up - Cold Down Adaptor
 (3 In 1 Wall Mixer Adaptor)",682.0
,"¾ x ½ CPVC Hot Side - Cold Down Adaptor
 (3 In 1 Wall Mixer Adaptor)",549.0
,"1 x ½  CPVC Hot Side - Cold Down Adaptor 
(3 In 1 Wall Mixer Adaptor)",682.0
,½ CPVC Plastic Strap (PP),7.0
,¾ CPVC Plastic Strap (PP),7.0
,1 CPVC Plastic Strap (PP),10.0
,1¼ CPVC Plastic Strap (PP),14.0
,1½ CPVC Plastic Strap (PP),21.0
,2 CPVC Plastic Strap (PP),26.0
,½ CPVC Plastic Strap (Nylon),13.0
,¾ CPVC Plastic Strap (Nylon),13.0
,1 CPVC Plastic Strap (Nylon),14.0
,1¼ CPVC Plastic Strap (Nylon),21.0
,1½ CPVC Plastic Strap (Nylon),25.0
,2 CPVC Plastic Strap (Nylon),31.0
,½ x ½ CPVC Tee Holder,
,¾ x ½ CPVC Tee Holder,17.0
,½ x ½ CPVC Elbow Holder,12.0
,¾ x ½ CPVC Elbow Holder,13.0
,½ CPVC Metal Strap,19.0
,¾ CPVC Metal Strap,19.0
,1 CPVC Metal Strap,23.0
,1¼ CPVC Metal Strap,23.0
,1½ CPVC Metal Strap,24.0
,2 CPVC Metal Strap,29.0
,½ CPVC Metal Strap (SS),24.0
,¾ CPVC Metal Strap (SS),29.0
,1 CPVC Metal Strap (SS),36.0
,1¼ CPVC Metal Strap (SS),41.0
,1½ CPVC Metal Strap (SS),48.0
,2 CPVC Metal Strap (SS),59.0
,"1 CPVC Extension Pieces Chrome Plated medium Duty 
(½” Threaded)",83.0
,"1½ CPVC Extension Pieces Chrome Plated medium Duty
 (½” Threaded) ",125.0
,"2 CPVC Extension Pieces Chrome Plated medium Duty
 (½” Threaded)",159.0
,"2½ CPVC  Extension Pieces Chrome Plated medium Duty
 (½” Threaded)",202.0
,"3 CPVC Extension Pieces Chrome Plated medium Duty
 (½” Threaded)",238.0
,"4 CPVC Extension Pieces Chrome Plated medium Duty
 (½” Threaded)",260.0
,"5 CPVC Extension Pieces Chrome Plated medium Duty 
(½” Threaded)",267.0
,"6 CPVC Extension Pieces Chrome Plated medium Duty
 (½” Threaded)",389.0
,"1 CPVC Extension Pieces Chrome Plated Heavy Duty 
(½” Threaded)",102.0
,"1½ CPVC Extension Pieces Chrome Plated Heavy Duty
 (½” Threaded) ",153.0
,"2 CPVC Extension Pieces Chrome Plated Heavy Duty 
(½” Threaded)",217.0
,"2½ CPVC  Extension Pieces Chrome Plated Heavy Duty 
(½” Threaded)",270.0
,"3 CPVC Extension Pieces Chrome Plated Heavy Duty
 (½” Threaded)",321.0
,"4 CPVC Extension Pieces Chrome Plated Heavy Duty 
(½” Threaded)",332.0
,"5 CPVC Extension Pieces Chrome Plated Heavy Duty 
(½” Threaded)",312.0
,"6 CPVC Extension Pieces Chrome Plated Heavy Duty 
(½” Threaded)",416.0
,"50ml IPS Weld-On 500 CTS Adhesive Solution 
(Yellow)",165.0
,"100ml IPS Weld-On 500 CTS Adhesive Solution 
(Yellow)",220.0
,"200ml IPS Weld-On 500 CTS Adhesive Solution 
(Yellow)",360.0
,"500ml IPS Weld-On 500 CTS Adhesive Solution 
(Yellow)",835.0
,"1000ml IPS Weld-On 500 CTS Adhesive Solution 
(Yellow)",1485.0
,50ml PIPEFIX CPVC 307,170.0
,100ml PIPEFIX CPVC 307,217.0
,200ml PIPEFIX CPVC 307,377.0
,500ml PIPEFIX CPVC 307,775.0
,X100ml PIPEFIX CPVC 307,1365.0
"6"" 10ft s/s foamcore sn2",160mm 3 M S/S (Foamcore)Selfit Pipes SN2 ,2852.0
"6"" 20ft s/s foamcore sn2",160mm 6 M S/S (Foamcore)Selfit Pipes SN2,5602.0
"8"" 10ft s/s foamcore sn2",200mm 3 M S/S (Foamcore)Selfit Pipes SN2,4195.0
"8"" 20ft s/s foamcore sn2",200mm 6 M S/S (Foamcore)Selfit Pipes SN2,8238.0
"10"" 10ft s/s foamcore sn2",250mm 3 M S/S (Foamcore)Selfit Pipes SN2 ,6518.0
"10"" 20ft s/s foamcore sn2",250mm 6 M S/S (Foamcore)Selfit Pipes SN2,13006.0
"12"" 10ft s/s foamcore sn2",315mm 3 M S/S (Foamcore)Selfit Pipes SN2,10242.0
"12"" 20ft s/s foamcore sn2",315mm 6 M S/S (Foamcore)Selfit Pipes SN2,20492.0
"4"" 10ft s/s foamcore ringfit sn4",110mm 3 M S/S (Foamcore)Ringfit Pipes SN4,1530.0
"4"" 20ft s/s foamcore ringfit sn4",110mm 6 M S/S (Foamcore)Ringfit Pipes SN4,3294.0
"6"" 10ft s/s foamcore ringfit sn4",160mm 3 M S/S (Foamcore)Ringfit Pipes SN4,3254.0
"6"" 20ft s/s foamcore ringfit sn4",160mm 6 M S/S (Foamcore)Ringfit Pipes SN4,6787.0
"4"" 10ft s/s foamcore selfit sn4",110mm 3 M S/S (Foamcore)Selfit Pipes SN4,1630.0
"4"" 20ft s/s foamcore selfit sn4",110mm 6 M S/S (Foamcore)Selfit Pipes SN4,3255.0
"6"" 10ft s/s foamcore selfit sn4",160mm 3 M S/S (Foamcore)Selfit Pipes SN4,3354.0
"6"" 20ft s/s foamcore selfit sn4",160mm 6 M S/S (Foamcore)Selfit Pipes SN4,6715.0
"8"" 10ft s/s foamcore selfit sn4",200mm 3 M S/S (Foamcore)Selfit Pipes SN4,5111.0
"8"" 20ft s/s foamcore selfit sn4",200mm 6 M S/S (Foamcore)Selfit Pipes SN4,10213.0
"8"" 20ft d/s foamcore selfit sn4",200mm 6 M D/S (Foamcore)Selfit Pipes SN4,10226.0
